Trainer 001,23,3,39.8,257
Trainer 002,26,20,17.5,219
Trainer 003,27,69,31.3,1128
Trainer 004,27,695,1541.1,10321
Trainer 005,29,139,130.3,1020
Trainer 006,29,54,111.8,1450
Trainer 007,31,77,319.2,2163
Trainer 008,33,113,336.5,1685
Trainer 009,33,292,204,1798
Trainer 010,33,177,250.5,2179
Trainer 011,33,89,63.4,3811
Trainer 012,33,82,416.4,2362
Trainer 013,33,298,252.2,2516
Trainer 014,33,106,494.6,1998
Trainer 015,33,307,173.9,5877
Trainer 016,33,115,61.9,2033
Trainer 017,33,138,1584.2,2686
Trainer 018,34,211,172.7,3093
Trainer 019,34,130,1509,3550
Trainer 020,34,260,1369.9,3097
Trainer 021,34,396,68.6,2500
Trainer 022,34,53,143.1,3641
Trainer 023,34,329,169.1,4748
Trainer 024,34,361,202.5,3618
Trainer 025,34,186,1314.7,5598
Trainer 026,34,419,863.2,2351
Trainer 027,35,283,113.8,3576
Trainer 028,35,524,650.9,4877
Trainer 029,35,597,1576.9,3844
Trainer 030,35,465,96.4,3639
Trainer 031,35,296,297.8,3273
Trainer 032,35,403,435,3211
Trainer 033,35,139,165.1,3285
Trainer 034,35,204,612.8,5262
Trainer 035,35,406,2322.7,3425
Trainer 036,35,197,617.3,6946
Trainer 037,35,231,225.8,4551
Trainer 038,36,620,226.6,4406
Trainer 039,36,103,153.2,4894
Trainer 040,36,223,917.2,8310
Trainer 041,36,771,1757.3,6095
Trainer 042,36,178,194.1,3694
Trainer 043,36,260,2155.4,5812
Trainer 044,36,235,207,4283
Trainer 045,36,159,1063.3,13666
Trainer 046,36,570,712.1,5070
Trainer 047,36,603,1028.5,5620
Trainer 048,36,559,836.4,4498
Trainer 049,37,377,429.9,8968
Trainer 050,37,841,641,12439
Trainer 051,37,703,1227.6,5620
Trainer 052,37,464,4410,8984
Trainer 053,37,453,9745.4,8942
Trainer 054,37,245,331.7,5904
Trainer 055,37,251,79.3,4125
Trainer 056,37,1178,1983.2,10330
Trainer 057,37,890,1579.9,8036
Trainer 058,37,592,306.4,6222
Trainer 059,37,321,1181.3,7761
Trainer 060,37,211,289.4,7707
Trainer 061,37,522,262.5,7248
Trainer 062,37,935,563.1,17274
Trainer 063,37,919,442.4,16772
Trainer 064,37,558,392.7,3992
Trainer 065,37,438,1551.5,5684
Trainer 066,38,373,151.3,4141
Trainer 067,38,602,5289.4,8101
Trainer 068,38,638,2268.1,8840
Trainer 069,38,309,1230.9,7912
Trainer 070,38,528,786,5732
Trainer 071,38,537,463.7,8281
Trainer 072,38,624,551.6,11069
Trainer 073,38,701,1717.6,11954
Trainer 074,38,2420,4827.7,9756
Trainer 075,38,444,3026.5,7886
Trainer 076,38,1305,1587,7288
Trainer 077,38,733,1018.6,8195
Trainer 078,38,462,726,9160
Trainer 079,38,1200,1043.1,14042
Trainer 080,38,306,3085.6,15044
Trainer 081,38,1292,1961.4,12983
Trainer 082,38,849,509.2,8813
Trainer 083,38,582,1037.6,7262
Trainer 084,38,642,620.9,6776
Trainer 085,38,990,1957.8,8993
Trainer 086,38,490,381.7,8135
Trainer 087,38,722,640.5,7419
Trainer 088,38,572,2648.6,17594
Trainer 089,38,260,1045.6,9279
Trainer 090,38,1389,1124.7,11697
Trainer 091,38,1289,5945.1,16189
Trainer 092,39,724,2091.1,8745
Trainer 093,39,622,1162.4,13184
Trainer 094,39,639,2282.1,8582
Trainer 095,39,1042,6821.3,14025
Trainer 096,39,1456,2888.1,10777
Trainer 097,39,663,4637.8,17398
Trainer 098,39,1004,5532.4,19434
Trainer 099,39,578,858.6,11435
Trainer 100,39,210,3498.3,11213
Trainer 101,39,503,923.9,11287
Trainer 102,39,1283,1796.2,17284
Trainer 103,39,641,2509.4,8720
Trainer 104,39,2536,4860.4,12752
Trainer 105,39,297,250.4,10789
Trainer 106,39,1212,968.6,13807
Trainer 107,39,1614,4254.3,14617
Trainer 108,39,936,5515.3,13454
Trainer 109,39,530,1275,10090
Trainer 110,39,444,1112.6,6330
Trainer 111,39,1243,5157.4,15478
Trainer 112,39,1446,1274,10829
Trainer 113,39,1059,482,22778
Trainer 114,39,670,2070.7,13244
Trainer 115,39,331,1272.7,13328
Trainer 116,39,659,642.8,10582
Trainer 117,39,423,1595.9,9291
Trainer 118,40,3391,3530.2,13664
Trainer 119,40,669,1542.2,12329
Trainer 120,40,2081,1708,14203
